,Advanced Playmaker,Anchor Man,Attacking Fullback,Balanced Fullback,Ball Playing CB,Ball Winning Midfielder,Box to Box Midfielder,Complete Forward,Conservative,Creative Winger,Deep Playmaker,Defensive Fullback,Defensive Winger,Direct Winger,Enforcer,False 10,Holding Midfielder,Libero,Playmaker,Poacher,Positional Midfielder,Second Striker,Shot Stopper,Stopper,Sweeper,Sweeper Keeper,Target Man,Wide Playmaker,Wide Supporter
Deep Playmaker,6.247440772155601,5.691494473810668,6.262033453801132,6.4903760382183275,6.113818061403094,6.36220312261608,7.159296785882038,6.421366594360087,6.653561517113784,6.217394265477083,5.688920454545455,6.123143802415942,5.79375,6.258378865543851,6.426636161117466,6.30049610205528,6.431890257393612,5.565130711598443,5.115776258892454,6.652567975830816,5.917765440666204,6.365422396856581,6.033662381933102,6.136110078095946,6.785442468691621,6.229525191789343,6.0262310170271505,6.292780177528837,5.810004589261129
Defensive Fullback,4.083469340172535,4.0528577267787895,4.272067138860782,3.994201136390207,4.153993712367454,3.823625547492972,4.201759678935773,4.060485489117906,4.242992846253078,3.8342108090684435,4.03189197507117,3.94005752992484,4.047865284741113,4.154563106796116,4.032899615721702,3.9869109086723453,3.8754816467248023,4.141544536411269,4.386795164102466,3.980864084764341,3.9638070254539497,4.449829047123532,4.111006504621705,3.843271382943943,4.160089083941965,3.911077618688772,4.156277272160578,3.995349080267559,3.615375425601816
Defensive Winger,4.547990820321289,4.890118367976723,4.808675718568154,5.1095223875353515,4.700097727827999,5.0218418616736225,5.245095474758044,5.019597763927263,5.04918306102034,4.991285057835525,5.057386363636364,4.983700173115403,4.925843641167287,5.06196135864361,5.1908049778806795,5.137832367925187,4.952982013253392,4.445121951219512,4.982171510073097,4.971291866028708,5.1531822062031685,4.929433667647588,4.931356843023138,5.329534192269574,4.97681409116736,5.047935201168503,5.338250428816466,5.1279803646563815,4.620967741935484
Direct Winger,4.547635850388144,4.453882582876043,4.043575418994413,4.325217634188353,4.134434847915884,4.336443109173462,4.163388706478983,4.253121386150258,3.812471640630064,4.045616165120111,4.263504759758914,4.408543689320389,4.296456936855742,4.11871023713129,4.50723638869745,4.635375649708616,4.701027030432865,3.6708621179142615,3.890591589451176,4.8501178848097,4.150049181793794,4.460980259516635,4.5416921412782765,4.543586733196361,4.2088689399102295,4.34728532629388,4.572165806559014,4.427001569858713,4.311224489795919
Enforcer,3.8164377817381276,3.5485803745723725,3.5144809632281158,3.7351253100292796,3.585066212838377,3.4856043757889044,3.482164572355087,3.737355607123168,3.7080684823458454,3.5447578979001544,3.8554398217833703,3.60817097013416,3.758217224128664,3.614059269469332,3.490101213974058,3.4541636230825423,3.574184496667836,3.6087484811664643,3.560092851390402,3.826030085022891,3.7098368759268414,3.606619436482613,3.4099997740674635,3.521979648052451,3.690716448032291,3.920257234726688,3.6302040928974564,3.5880772355183406,3.285583774894939
False 10,4.332974717590102,4.2219484457922665,4.29084995292305,4.53890138478632,4.748065076607171,4.77717854101618,5.060751624752755,4.7172786663662984,4.56111295130838,4.69018743109151,4.429482636428065,4.490084520011839,4.402959034126597,5.032288549377855,4.596420745069394,5.846867749419953,2.9417337754618664,3.7854889589905363,4.578250713729561,4.13618458075408,4.283211678832117,4.943771626297578,4.756786209629483,4.817441860465116,4.384565639146367,4.492327591275208,5.039844927848375,3.975207606210134,4.183569979716024
Holding Midfielder,4.947814405290896,5.380792281830142,4.947508075680664,5.387202152190623,5.604246229529419,5.826982006757287,4.835578297840319,5.1719487525286585,5.179095713446858,5.00978626790887,4.593259089903386,5.230176434800243,5.236983275481224,4.984563039506017,5.461241669589618,4.689720511605874,5.574655490836767,3.8237924865831845,5.050182481751825,5.533485788957857,4.984579799537395,5.269779820953302,5.391518958940992,5.374108818011257,5.187319884726224,4.620178041543027,5.59171597633136,5.269392869347306,6.052117899668163
Libero,4.026465028355387,4.186302038823098,4.387167485693238,4.254826254826255,4.239148419833434,4.396668167492121,4.055767232421198,4.521673690547862,4.387416634320195,4.334635025533194,4.011061448921187,4.155213000227808,3.676829268292683,4.4913409671619196,4.401579586877278,3.028391167192429,4.447674418604651,4.459963025015888,4.678023015845255,2.990033222591362,4.329282878055782,4.582109743623585,2.3126338329764455,3.177523620089508,3.9472597080694025,4.358353510895884,4.279518072289156,4.546839299314547,4.025777103866566
Playmaker,5.934304806376298,6.048408906517623,5.6926269251222585,5.767242915701301,5.711857822666796,6.284517234812416,5.677621410558855,5.861536425009928,5.742921573540466,5.7816107564851285,5.2727019110057185,6.107715594045179,5.90880727402389,5.808624376336422,6.056421431616846,6.283415520373734,5.768704379562044,5.587813494700759,5.717259651778956,5.8403800475059375,5.623950233281493,6.011326411637333,6.288962698007154,6.459292035398231,5.817429702568267,5.452691878246517,6.422178910942286,6.79536925131989,6.388888888888888
Poacher,2.7978406552494417,2.6538146021328957,2.6610161139309123,2.5602605863192185,2.7546987528543827,2.5894576234242743,2.5683341928829293,2.920303605313093,2.8430987023200944,2.869549699601451,2.7371601208459215,2.7991413956887103,2.650717703349282,2.4189962950488377,2.4457161543492476,2.65053460889139,3.0813459653707937,2.3322259136212624,2.6593824228028504,3.218884120171674,2.5210431902856354,2.620075305354027,2.653899675303161,2.765785757514626,2.758462946020128,2.582196029776675,2.6787077079623507,2.6713732634935097,3.1038942376778276
Positional Midfielder,6.657916716382293,6.0263053009167,5.940767332286291,6.408207528323963,6.521019986216403,6.188748506061124,6.293962187436471,6.2940071202531644,6.161410018552876,6.31932671348995,6.375780707841777,6.43726687707505,5.907237029308546,6.13788786551015,6.34453781512605,6.5781021897810215,6.800308404009252,5.842702004496962,6.225816485225505,6.091486132192631,5.887528691660291,6.431478968792401,6.338068912316792,6.107719023078647,6.39283367867792,6.2319148033433756,6.581577034883721,6.264396594892339,5.841688654353562
Second Striker,0.0,4.727911560545034,5.001820451471965,4.917952084017066,5.047784887017089,4.7538574577516535,4.919837743867104,4.859509331096666,4.744793579184808,5.492864983534577,5.062026382262139,4.99033744611268,4.8213320521290015,5.302256933767911,5.490238494402682,3.9316608996539797,5.465763368013549,4.703863793843007,4.951973793792682,4.917806961153458,5.01130710085934,4.900862068965517,5.613852091373736,4.955851661582918,4.624298225915113,4.5535912419557665,5.2145234133586875,4.622030237580994,5.88500563697858
Shot Stopper,4.734994734994735,4.7971937746955895,4.693726556316459,5.039743084949306,4.835409156647311,4.86796206645003,4.70144364915686,4.9027348849056,0.0,4.800324072511224,4.7297777146509485,4.739558370421089,4.754324417496401,4.730047500352725,4.79169020130589,5.015355656825837,4.7812429885573255,3.758029978586724,4.6937276443536025,4.782983235040753,4.854075597840062,5.158548033795765,0.0,4.9074347404377345,4.620435942242252,0.0,4.92455350516994,5.098698181146708,5.144882687222191
Stopper,2.8164024444247633,3.053750738334318,3.1212097345829726,3.006110322146648,2.872732232983222,2.912096784210461,3.1997001144300206,3.0419345820519985,3.1606557377049183,2.6139104576243186,2.740795834882856,2.8700047783114955,3.153493557978196,3.058618810012998,3.075329523982972,2.8813953488372093,2.8322701688555347,2.282446544007956,3.1460176991150446,2.9473471857978617,3.057640600492942,2.9980735270508907,2.9537595411799433,2.895989694186177,3.215583366976181,2.99619317757707,3.00723293768546,2.9258560894306203,2.9082174462705437
Sweeper,3.771091794719987,3.474411836041717,3.6342240066454385,3.7716487474180393,3.6907423109535187,3.5154432669940556,3.452694906873249,3.739891436800709,3.7103715697971706,3.8599489375720637,3.781913789524666,3.369141584515115,3.4146520280796935,3.515145818156182,3.723511604439959,3.5309333908169864,3.677997291760703,3.2160561828697327,3.8622982438331137,3.4263494967978043,3.5568807803103044,3.7390523242757694,3.6006621907477236,3.7560557125555105,3.5386151797603196,3.4013628053847436,3.5354232245267556,3.466314095194298,3.494433885419495
Sweeper Keeper,5.180278019113814,5.107387520829477,5.035447065061566,5.337034803278107,4.895633574273492,5.145772594752186,5.194101573541883,5.101880378200361,0.0,5.080844066867635,4.889073190959984,5.160433109903622,5.0288142344974105,5.171967408685941,5.322829581993569,5.455347169145746,5.083086053412463,4.750605326876514,5.321617554250206,5.345843672456575,5.017607874750731,5.385753384126045,0.0,5.334030006717922,5.262090742895131,0.0,5.432083921969401,4.821669077667481,5.501902949571837
Target Man,3.072011984163783,2.965710345404016,2.653730527466521,3.119834978788547,2.8581809611721036,3.048679940356109,3.1660161803096485,3.2691043691839345,2.519011028387148,2.7564044536978365,2.7715140358950756,3.1324024435855877,2.9454545454545458,2.949059430664225,3.2514109870699763,3.2061167348696964,3.151549942594719,2.1795180722891567,3.211089455471143,3.228186212159756,2.869731104651163,2.4494889469931067,3.17765794290803,3.3563612759643915,2.891207796127808,3.0839520274129066,3.3870967741935485,3.1282218597063625,3.540404914345042
Wide Playmaker,6.263399693721287,5.52472647702407,5.4295337141296685,5.82168894289186,5.525780189959295,5.562355501155991,5.8568446167611095,5.645552740365382,5.7170315503258164,5.5058823529411764,5.6177908577395925,5.715536162207358,4.922861150070126,5.737833594976451,5.668937074298569,5.480803947526778,5.500056954094999,4.809596344249809,5.163793651803321,5.363242997039399,5.881321982974461,4.967602591792657,5.7634567445295914,5.9289875079969026,5.687514371119797,5.248166808001197,5.831647634584013,5.665505933263463,5.772832544557446
Wide Supporter,4.361557310100736,4.47119780554709,4.2940603700097375,4.369980181495776,4.20863309352518,4.692980863502669,4.493822923816061,4.609033511413307,4.515752625437573,4.697110904007456,4.58467186782928,4.63950779523326,4.717741935483871,4.846938775510204,4.83793166453499,4.655172413793103,4.374390005855944,3.9802880970432146,4.722222222222222,4.51357953728984,4.907651715039577,4.464487034949267,4.805604006076633,4.528445006321113,4.708118381754005,4.3387250237868695,4.5838380342619836,4.472359279025275,4.770318021201414
