,Advanced Playmaker,Anchor Man,Attacking Fullback,Balanced Fullback,Ball Playing CB,Ball Winning Midfielder,Box to Box Midfielder,Complete Forward,Conservative,Creative Winger,Deep Playmaker,Defensive Fullback,Defensive Winger,Direct Winger,Enforcer,False 10,Holding Midfielder,Libero,Playmaker,Poacher,Positional Midfielder,Second Striker,Shot Stopper,Stopper,Sweeper,Sweeper Keeper,Target Man,Wide Playmaker,Wide Supporter
Deep Playmaker,1.4452517994499998,1.3197398163305964,1.0935050055181474,1.1937229017831703,1.241224502263096,1.3512527796211535,1.1369678703789334,1.1264252905058323,0.923693873508497,1.063620649431754,1.0225266788023817,1.3756728506881903,1.2034165367375005,1.2541881989586205,1.3584783636277211,1.405452158489221,1.2687323791761371,0.8878127694044858,0.8939846248941483,1.3449908720448533,1.121986211274429,1.1151720679108226,1.387960849146686,1.3319914309777772,1.1902146833411762,1.2545525176298822,1.2978161032124622,1.2616631788562962,1.4094151967735633
Defensive Fullback,1.3179720505128847,1.3425927256795018,1.3172390725714291,1.3569625605024733,1.2850729050699905,1.3981051201440744,1.2746186164269944,1.3092526319679836,1.0908270502516375,1.227656980753756,1.3756728506881903,1.4148629991966104,1.3969879319047516,1.3717073508947584,1.354425362547979,1.477240923722964,1.4413993438083788,1.0633864723265831,1.2390139745207827,1.4421872424410556,1.3257388036678677,1.2823386979791165,1.409962010825958,1.3944973110167767,1.3495444090009237,1.3573516073183787,1.2984671730755872,1.3340713461727347,1.47199684307849
Defensive Winger,1.2745100787220338,1.2721146120304199,1.2668561299718255,1.2569751246632082,1.345829936488462,1.440323087865012,1.2553721581567565,1.2871341602122983,0.9639271342422814,1.1760681474301529,1.2034165367375005,1.3969879319047516,1.376947676889406,1.339994938591235,1.2992594139505704,1.3491704300802962,1.3784480384590692,1.1459676680560977,1.3008109608238267,1.4447839294777785,1.3692643282785724,1.418415283648199,1.4215437403382507,1.3335092507257746,1.2760397768163028,1.3178615013046715,1.2666931638744316,1.4529407395462504,1.545360156518
Direct Winger,1.325003586313558,1.3130579343382296,1.1629373600251947,1.2982851164961804,1.2276495765695383,1.4035557258616669,1.2619701616189116,1.1757441375946227,0.9827138871393779,1.0869369410875522,1.2541881989586205,1.3717073508947584,1.339994938591235,1.2858680861969536,1.3790257765757947,1.417377512076667,1.4418412419497693,0.9876127509537682,1.110730171361352,1.466609639797235,1.2515417871030634,1.3837120654084438,1.4359698143439104,1.3892561764932154,1.2905748524084386,1.3322701354502997,1.319160096804216,1.3061244490191366,1.40794007695
Enforcer,1.3534670010624474,1.2542112705988788,1.313538412862119,1.292537982399102,1.3475336817774997,1.3099252183746943,1.321801468213344,1.1767637127545345,0.9893684028882592,1.2643901680373872,1.3584783636277211,1.354425362547979,1.2992594139505704,1.3790257765757947,1.3748522230941795,1.4738096033730304,1.363530136415361,1.0523799410763157,1.2560250439888017,1.3801560124440384,1.3559373355612465,1.3598033074440175,1.3733055620766357,1.2353839525599226,1.2221867604895238,1.3183125181249995,1.3350036177355296,1.225361318471991,1.3535724899272463
False 10,1.5149644511555553,1.3652351690634483,1.3889873809202613,1.3918608248586493,1.3113845392148766,1.3658686216147502,1.4104696828979804,1.3590984091808742,1.066362850504878,1.224881592220212,1.405452158489221,1.477240923722964,1.3491704300802962,1.417377512076667,1.4738096033730304,1.5160645856925001,1.6847362320766663,1.5115754869230769,1.38706855462963,1.407016892728572,1.2469121028195647,1.249254903925,1.4658129681665368,1.3552583105644767,1.3151332297191995,1.3500878932824645,1.3990789712530545,1.5369778315704352,1.50919670911625
Holding Midfielder,1.373212255565385,1.4622764741359064,1.2299670962178488,1.4130254530739337,1.2801526213934005,1.3315111474000008,1.3103913733546448,1.173142286872876,0.916857525951724,1.2931249925228077,1.2687323791761371,1.4413993438083788,1.3784480384590692,1.4418412419497693,1.363530136415361,1.6847362320766663,1.5512668114802075,0.7841482837292394,1.1769709803662287,1.45922969351875,1.2937784579675926,1.3484187020456135,1.4476387960355974,1.4550501556307378,1.3556134427947364,1.1858889164395154,1.4123689666930004,1.2286441911025532,1.5176410955437962
Libero,1.169980011157143,1.1283282551101006,0.9112235371695155,1.0029719017323946,1.2097601164150225,1.1369726887449543,0.8838091515042503,0.9407871502974448,0.897798777890062,0.9202834536959098,0.8878127694044858,1.0633864723265831,1.1459676680560977,0.9876127509537682,1.0523799410763157,1.5115754869230769,0.7841482837292394,0.888600031163882,0.9298638279133903,1.1096383872131577,1.045734457245924,0.9535535018604705,1.2247160734727274,1.2829160415333332,1.1301436424029947,1.0734532396719219,1.0132568740478687,0.9461968701388151,1.3271746438740002
Playmaker,1.0243534219437502,1.0989231684898555,1.0041395879994996,1.1768704380886992,1.2048443314731472,1.333096541957711,1.1474600850891727,1.0616747268920244,0.9473773427446915,0.9948941157405539,0.8939846248941483,1.2390139745207827,1.3008109608238267,1.110730171361352,1.2560250439888017,1.38706855462963,1.1769709803662287,0.9298638279133903,1.011679773511503,1.3635261639821428,1.151083252109024,1.1911767714230765,1.3565177477706518,1.2939881604368035,1.0860880519922755,1.0900108956012249,1.1688405329837355,1.0355806229714286,1.2272652856461543
Poacher,1.4272587709962954,1.4003481586843,1.2717740750485498,1.4156282486637848,1.3917089387903012,1.4585105354205876,1.2804815132412957,1.2558425381948717,1.1016196065798074,1.253557093069263,1.3449908720448533,1.4421872424410556,1.4447839294777785,1.466609639797235,1.3801560124440384,1.407016892728572,1.45922969351875,1.1096383872131577,1.3635261639821428,1.6029075232178565,1.452547056737755,1.4181240395184929,1.4625573964048717,1.4701029971845172,1.357661022115564,1.4018570930268281,1.357456802421621,1.3645091156473117,1.4635382410735291
Positional Midfielder,1.1791503050556558,1.3079926938540405,1.114378016565327,1.2206653317040377,1.2714280887470044,1.2888611548006754,1.2221344512807835,1.1232852781005158,1.0121105307091516,1.0798404834202475,1.121986211274429,1.3257388036678677,1.3692643282785724,1.2515417871030634,1.3559373355612465,1.2469121028195647,1.2937784579675926,1.045734457245924,1.151083252109024,1.452547056737755,1.3724614694811592,1.172906239138697,1.459552359635979,1.307581796528868,1.1601442898224068,1.2052600200655903,1.257684975091416,1.2832105925779185,1.3635192720469145
Second Striker,0.0,1.3612936516296044,1.1000870017320994,1.2188573425717342,1.3327240828514657,1.360840174474515,1.196086738356834,1.132997415818984,0.9686309610866951,1.1658589942874595,1.1151720679108226,1.2823386979791165,1.418415283648199,1.3837120654084438,1.3598033074440175,1.249254903925,1.3484187020456135,0.9535535018604705,1.1911767714230765,1.4181240395184929,1.172906239138697,1.0587491723553193,1.3799112531887026,1.5185849811462024,1.2457857518759126,1.3188729496793936,1.1635034410754466,0.9978903362258622,1.2114681834999999
Shot Stopper,1.3346473132179237,1.3948883542608528,1.3886073482956718,1.3843959462571893,1.3487708043558697,1.3573539823129284,1.3129142568747543,1.3365597786660899,0.0,1.3365959559716254,1.387960849146686,1.409962010825958,1.4215437403382507,1.4359698143439104,1.3733055620766357,1.4658129681665368,1.4476387960355974,1.2247160734727274,1.3565177477706518,1.4625573964048717,1.459552359635979,1.3799112531887026,0.0,1.3824476627921014,1.3551587542047232,0.0,1.3318311535101708,1.3565142066505884,1.3996600235688599
Stopper,1.315989013398831,1.3514402563835153,1.314125937233781,1.2967467051257402,1.374963631711832,1.3259550038476016,1.273060982040704,1.2440101987773857,1.0084778832222936,1.220273153551015,1.3319914309777772,1.3944973110167767,1.3335092507257746,1.3892561764932154,1.2353839525599226,1.3552583105644767,1.4550501556307378,1.2829160415333332,1.2939881604368035,1.4701029971845172,1.307581796528868,1.5185849811462024,1.3824476627921014,1.3533789269377154,1.3972780734195653,1.2571575312506527,1.297552796668857,1.271801859497896,1.3400689954804523
Sweeper,1.1310847632600824,1.2979043652489854,1.1716308837060558,1.184887137596938,1.2584859062244553,1.3660067737176091,1.2065365070952314,1.2352539932382482,1.000677432926217,1.0994627251810758,1.1902146833411762,1.3495444090009237,1.2760397768163028,1.2905748524084386,1.2221867604895238,1.3151332297191995,1.3556134427947364,1.1301436424029947,1.0860880519922755,1.357661022115564,1.1601442898224068,1.2457857518759126,1.3551587542047232,1.3972780734195653,1.2013371299738989,1.3808604221161371,1.2144918857843368,1.3502922060069689,1.4467731904360543
Sweeper Keeper,1.3099029544538014,1.3484091073907887,1.206647207686691,1.2872629666202748,1.2749577800054495,1.3887809659662158,1.2895658848857132,1.2580795976502699,0.0,1.1551333317563581,1.2545525176298822,1.3573516073183787,1.3178615013046715,1.3322701354502997,1.3183125181249995,1.3500878932824645,1.1858889164395154,1.0734532396719219,1.0900108956012249,1.4018570930268281,1.2052600200655903,1.3188729496793936,0.0,1.2571575312506527,1.3808604221161371,0.0,1.2810574733827156,1.119223138147638,1.4962846770918232
Target Man,1.2421948794283018,1.2524083215089274,1.2188012167409639,1.2472185385191994,1.2542845864094188,1.2763174031765414,1.1950024041882452,1.2189708107875328,1.009967115826159,1.2006552395644279,1.2978161032124622,1.2984671730755872,1.2666931638744316,1.319160096804216,1.3350036177355296,1.3990789712530545,1.4123689666930004,1.0132568740478687,1.1688405329837355,1.357456802421621,1.257684975091416,1.1635034410754466,1.3318311535101708,1.297552796668857,1.2144918857843368,1.2810574733827156,1.165462974187778,1.2791763870637523,1.292148007394093
Wide Playmaker,1.4345675924038452,1.333460688403937,1.1490542174159932,1.181306902012484,1.2585617740606787,1.2099724689295785,1.1791430431311114,1.1587950198803347,0.9480305616675476,1.163028524208064,1.2616631788562962,1.3340713461727347,1.4529407395462504,1.3061244490191366,1.225361318471991,1.5369778315704352,1.2286441911025532,0.9461968701388151,1.0355806229714286,1.3645091156473117,1.2832105925779185,0.9978903362258622,1.3565142066505884,1.271801859497896,1.3502922060069689,1.119223138147638,1.2791763870637523,1.1531349622227942,1.2754966988737768
Wide Supporter,1.333306972456863,1.4684101452856353,1.444248361326708,1.3668603875080148,1.3085265990720585,1.349755363789487,1.3157429967731709,1.3676391785398405,1.0620004351237289,1.4013434509348834,1.4094151967735633,1.47199684307849,1.545360156518,1.40794007695,1.3535724899272463,1.50919670911625,1.5176410955437962,1.3271746438740002,1.2272652856461543,1.4635382410735291,1.3635192720469145,1.2114681834999999,1.3996600235688599,1.3400689954804523,1.4467731904360543,1.4962846770918232,1.292148007394093,1.2754966988737768,1.445404407808108
