,Advanced Playmaker,Anchor Man,Attacking Fullback,Balanced Fullback,Ball Playing CB,Ball Winning Midfielder,Box to Box Midfielder,Complete Forward,Conservative,Creative Winger,Deep Playmaker,Defensive Fullback,Defensive Winger,Direct Winger,Enforcer,False 10,Holding Midfielder,Libero,Playmaker,Poacher,Positional Midfielder,Second Striker,Shot Stopper,Stopper,Sweeper,Sweeper Keeper,Target Man,Wide Playmaker,Wide Supporter
Deep Playmaker,40.889148873939746,49.92599711677078,55.175264656027124,48.1194124526731,49.911064856426506,46.41662004780552,49.4054888277528,54.1024945770065,63.3822849213691,54.475243478853095,46.55965909090909,45.46395321997384,45.398863636363636,52.485213766687316,42.5724005057499,42.147413182140326,48.65403053322517,63.76893147689637,73.05830659785185,45.49848942598188,48.75260235947259,53.90401347179343,41.99275619629287,41.25697285236147,50.06988168546322,45.92680904001659,43.747123791992635,47.73199791142545,47.030748049564025
Defensive Fullback,29.80764747027279,28.681348260839222,30.440152371882625,29.490378095260365,31.88341237278201,26.74511342093221,30.639883249372044,30.39447058120373,34.34238301864665,32.66694423552165,31.619796876202198,27.72988772385636,29.54506621102093,29.111067961165052,26.873188161531722,25.59081790377216,26.643682822956805,40.540663679854205,28.681432375989118,28.143496529046402,32.62716727466491,33.54363014716813,27.094744950359466,25.318512184694313,29.947925195689912,28.574544877642484,27.64275028051365,25.885111831103682,23.278179320231764
Defensive Winger,33.358682446114386,33.11790508519408,34.149180038793865,35.782465878550475,33.30747617884193,33.51597135387064,35.33141511901648,35.3993445993703,35.449316438812936,36.1369038187292,36.12784090909091,33.42498707255109,33.926984508226255,34.845659888469555,34.99235126307521,34.23756019261637,34.51751341117072,39.23780487804878,36.10670351221252,34.27751196172249,34.646685004268235,34.28983244249594,34.906414130148235,35.51907829534192,33.275536575083855,33.084052582658344,33.82332761578045,35.29628330995792,30.798387096774196
Direct Winger,33.20536344389556,30.80959182139367,32.44469273743017,32.275033750756485,32.52346977093504,30.320540332964377,30.97818666493287,33.06885670044493,33.92137162118364,33.15844245945711,32.356503126232184,29.855533980582525,30.52385512307779,32.38034991324465,30.549965541006202,30.009450307134983,30.87140066788482,34.29544809312009,32.009978617248755,31.725833614011453,33.40695698828579,32.0736732058299,30.61303673047077,29.952199253637467,30.36307663384485,30.376170774424452,32.16497419677044,30.470957613814754,27.142857142857142
Enforcer,24.917706258517665,24.911382129534783,25.057412486634743,25.64544290536608,26.596021911397116,22.85117509166316,23.70753952168626,25.673406069308584,26.40746067832784,27.430036437399046,26.188813293997228,22.67713881210814,25.533551081159302,25.387319090282567,22.262918880413167,23.83126369612856,23.92493861802876,29.061360874848116,23.679946942062628,25.34009156311315,25.899653979238753,25.952084798009842,22.33377013623732,21.928882008787305,26.395055499495456,26.33054662379421,23.32123587288007,23.501062300818596,19.69376941348438
False 10,30.935987089833244,29.63893100833965,28.549174013523924,30.730874502046017,30.980887695466752,28.476947406836704,26.855043797682963,31.493579635052942,40.39417025505134,32.46085997794928,30.524450744153082,29.4978130035847,30.318235745690558,31.07969759017168,29.191928414901387,32.05336426914153,26.432970156324018,40.78864353312303,36.04204515961588,27.518289251547554,31.541605839416057,39.51124567474048,29.213889439270854,28.883720930232556,31.118775598189266,29.223940266917516,31.26642257161318,27.67481044650379,20.552738336713997
Holding Midfielder,31.798077916709726,29.293962870925306,34.134171665897554,32.12432744043044,36.02563272703735,30.66237133652864,32.23041613364437,33.09507754551584,39.596300645918966,33.299929538871055,32.9028689431374,29.18880551612249,32.813505837803724,31.20597315859114,29.51946685373553,31.804831833254383,33.42875408438699,38.55992844364937,32.18978102189781,30.98987259065665,34.602929838087896,34.188240987176385,29.937177473636975,29.479924953095683,31.83951946112982,34.1839762611276,31.086284553563544,32.28272012757717,30.647081788014837
Libero,36.805293005671075,39.28091808082041,51.57953841039969,47.51608751608751,45.022337433125585,46.32710490769924,45.57984066505023,52.44220349187236,50.49260736088077,54.782216881946525,51.74732306505033,46.17890500417647,38.27743902439024,52.34882180372858,42.73086269744836,30.56782334384858,53.75447227191413,53.52865561268704,55.15565427262234,41.44186046511628,50.55637946706214,52.07509816214076,20.235546038543898,33.56539035305818,42.14334893968604,51.90006603565926,47.410843373493975,57.65041888804265,42.12282031842305
Playmaker,46.84405442395942,44.34282881096187,55.039049873309494,51.167349848511854,51.76726230941051,44.61435916968197,45.7284633531278,54.37806115695186,58.3970182911551,55.218660871927206,64.7851862184405,40.69683674055908,45.57363166339812,52.89183891660727,41.92808754559667,49.6132883467428,46.19582572992701,62.693693378572185,55.34065102195307,42.60997624703088,55.371695178849144,55.20126589306535,41.59108329075115,40.826548672566375,48.49685311135926,47.033836594009415,44.54715405115151,50.34412569174989,36.32716049382716
Poacher,17.55770662695458,19.14684167350287,18.968609865470853,17.85586319218241,19.361935710521692,17.972536055509135,18.323878287777205,18.922201138519924,19.8662996460873,18.694902147403486,18.734138972809667,19.195286810376324,18.84688995215311,17.26035702256652,17.620340091563115,17.034327518289253,20.49330284220843,17.25249169435216,18.04275534441805,20.55793991416309,18.709121015592657,18.63807512168243,18.619044463587567,18.88238854145653,18.90210430009149,17.90787841191067,20.80005087763928,19.33500341607834,22.335105618623366
Positional Midfielder,41.13411287435867,42.345555998405736,47.18151222795602,41.790759396135954,47.7394900068918,36.149052415912585,42.48424476519618,45.94195015822785,49.12430426716141,48.878057641075316,43.18875780707842,40.062302742140425,36.57308166556009,44.081194670481985,38.02768166089965,37.410218978102186,41.99306090979182,50.50686504329523,52.48833592534992,36.07699737822547,41.44510328997705,49.547715965626416,36.87998200051427,34.00711404884607,43.83105068984687,42.16852645424074,42.419149709302324,38.615423134702056,37.04485488126649
Second Striker,0.0,43.29162738880795,47.665921148444816,46.70085329832622,46.75670203288248,41.24540778839089,45.947459918871935,49.290207590689874,53.02365839584535,51.43139407244786,50.02413696323323,44.0112977553144,39.19764578703982,46.35323780825287,42.75377210534855,41.53546712802768,47.60222598596661,49.14706173491272,48.96507689745155,40.79713472311507,49.5838986883763,50.48275862068966,45.793261708563676,39.22780542623214,47.90433415674826,38.70552555662401,46.94675540765391,48.01295896328294,44.94926719278467
Shot Stopper,12.077922077922079,11.532134505281832,11.68553632265391,11.90446894379368,11.57273296349861,11.447708734000928,10.833191799102268,11.60781941481741,0.0,11.788137595787056,11.645479724451388,11.30854159534406,12.857664307586234,11.832525984103842,11.098258060143241,12.415791559342184,11.631142023782814,11.370449678800858,11.31898313745529,12.011132463057452,12.777384931859089,12.499739230207574,0.0,11.492430312486823,11.613170238204727,0.0,11.615297086033742,11.518604007016897,11.307601417881056
Stopper,21.569391550792666,21.16804489072652,20.36229030479641,20.910755661858136,19.425726367480564,19.735184886161797,21.03065935366768,21.28850992451775,21.698360655737705,22.18701470345283,22.40609892153217,19.743731609787993,23.520193260654114,20.80653276866955,20.388143966125618,21.08372093023256,18.765478424015008,20.31824962705122,18.38230088495575,20.256203348799676,21.534561953842704,23.067105474393962,19.647767047611016,19.28769463425563,21.378179249091644,21.65522131820557,19.76678412462908,18.564261422943535,18.332237673830594
Sweeper,32.82569498640975,27.413291292748,31.409040564862245,30.197023462740322,32.28937023047869,29.953960971827343,29.73359980220867,31.337099811676083,33.60043463439577,32.00625926535991,30.811596208399642,27.89047915370255,30.9545629502007,31.763212934458203,25.28002018163471,35.63914636775167,25.789729523280442,34.55246488570642,33.00426352654553,28.84263494967978,32.125638045181184,36.371884123063104,26.577025659891472,24.366673395236173,30.494340878828226,29.834469004487286,28.915958777111808,26.740630029891932,27.768123812109692
Sweeper Keeper,19.88705473501303,18.266061840399924,19.50904342019992,17.390463688934616,19.323646555539167,17.368804664723033,16.73984735701498,18.27536385849357,0.0,16.867909016168813,18.11009744972009,17.216118668940624,18.44934271677068,18.60446226870066,16.390996784565914,17.292021870774295,17.759643916913948,20.832929782082324,18.529540268945095,16.784274193548388,17.32487589630447,19.645683852355944,0.0,16.01888482496081,17.3418647166362,0.0,18.46583906940395,18.9634359255749,19.895337773549002
Target Man,20.836394764061776,21.910901226570825,19.84012025143482,21.406831774367223,20.80267886953277,20.725024120691167,20.80126134043268,20.85999930812606,19.944260859179042,21.10346700461664,20.332489645651172,21.487345717491586,21.170840480274443,20.755784917596138,21.424786454524128,22.40404910618135,19.545173540581118,18.198795180722893,21.507497712899248,21.532688883235817,21.12100290697674,19.585215117661043,21.36941572255479,21.637611275964392,21.138803846319693,21.30091075776248,24.108159392789375,21.54127243066884,22.566187921785776
Wide Playmaker,35.92649310872894,36.52516411378556,39.75172382404479,39.763061968408266,37.27334402368324,35.22371821025432,37.64807634953773,39.504467262301645,42.5549669495101,46.29946524064171,39.84145820477524,35.434913252508366,36.21143057503506,37.95918367346939,34.93594950946698,30.534360332169936,39.387173937806125,45.795887281035796,39.97646460148846,35.42473240719654,41.26690035052579,46.30669546436285,34.612316498938235,36.93760732684603,39.25385146010577,41.63066793036365,36.43066884176183,37.74620507792691,36.3090323230289
Wide Supporter,25.06670296760142,28.342730874733313,28.55404089581305,30.744758527172216,27.001135933358576,26.804894876357164,30.823610157858614,32.08353569694026,33.75262543757293,33.886300093196645,30.702156952730608,26.396272624096532,26.274193548387096,28.520408163265305,27.44893111638955,23.656186612576064,25.69295334764786,31.97877179681577,27.314814814814813,27.83158499784452,36.74406332453826,34.59977452085682,27.982895403139597,27.666750948166875,30.40727667662232,27.58801141769743,27.36286554767261,30.141979659651593,24.664310954063605
